"YEAR","POWER_QUYU","POWER_HANGYE","SUM(*)"
2019.0,,"文体",4
2019.0,,"档案",5
2019.0,,"民宗",2
2019.0,,"民政",21
2019.0,,"气象",17
2019.0,,"水务",83
2019.0,,"生态",59
2019.0,,"科创",3
2019.0,,"规自",102
2019.0,,"财政",19
2019.0,,"金融",3
2019.0,"光明区",,3
2019.0,"光明区","事单",2
2019.0,"光明区","交通",1
2019.0,"光明区","人社",5
2019.0,"光明区","住建",106
2019.0,"光明区","公安",104
2019.0,"光明区","医疗",3
2019.0,"光明区","卫生",86
2019.0,"光明区","司法",6
2019.0,"光明区","城管",78
2019.0,"光明区","应急",53
2019.0,"光明区","教育",14
2019.0,"光明区","文体",75
2019.0,"光明区","档案",2
2019.0,"光明区","民宗",2
2019.0,"光明区","民政",9
2019.0,"光明区","气象",1
2019.0,"光明区","水务",84
2019.0,"光明区","生态",54
2019.0,"光明区","统计",4
2019.0,"光明区","规自",84
2019.0,"光明区","财政",2
2019.0,"光明区","退役",1
2019.0,"南山区",,2
2019.0,"南山区","交通",2
2019.0,"南山区","人社",29
2019.0,"南山区","住建",83
2019.0,"南山区","公安",106
2019.0,"南山区","卫生",82
2019.0,"南山区","司法",4
2019.0,"南山区","城管",73
2019.0,"南山区","审计",10
2019.0,"南山区","工信",1
2019.0,"南山区","市监",1
2019.0,"南山区","应急",57
2019.0,"南山区","教育",12
2019.0,"南山区","文体",71
2019.0,"南山区","档案",5
2019.0,"南山区","民宗",2
2019.0,"南山区","民政",6
2019.0,"南山区","水务",90
2019.0,"南山区","生态",58
2019.0,"南山区","统计",6
2019.0,"南山区","规自",98
2019.0,"南山区","财政",15
2019.0,"南山区","退役",1
2019.0,"坪山区",,5
2019.0,"坪山区","交通",4
2019.0,"坪山区","人社",31
2019.0,"坪山区","住建",93
2019.0,"坪山区","保密",2
2019.0,"坪山区","公安",104
2019.0,"坪山区","卫生",91
2019.0,"坪山区","司法",5
2019.0,"坪山区","商务",2
2019.0,"坪山区","城管",31
2019.0,"坪山区","审计",4
2019.0,"坪山区","应急",44
2019.0,"坪山区","教育",35
2019.0,"坪山区","文体",77
2019.0,"坪山区","档案",1
2019.0,"坪山区","民宗",3
2019.0,"坪山区","民政",21
2019.0,"坪山区","水务",101
2019.0,"坪山区","生态",54
2019.0,"坪山区","统计",9
2019.0,"坪山区","规自",91
2019.0,"坪山区","财政",16
2019.0,"坪山区","退役",3
2019.0,"大鹏新区",,5
2019.0,"大鹏新区","交通",1
2019.0,"大鹏新区","人社",14
2019.0,"大鹏新区","住建",112
2019.0,"大鹏新区","公安",105
2019.0,"大鹏新区","卫生",52
2019.0,"大鹏新区","司法",8
2019.0,"大鹏新区","城管",21
2019.0,"大鹏新区","应急",43
2019.0,"大鹏新区","教育",12
2019.0,"大鹏新区","文体",83
2019.0,"大鹏新区","档案",5
2019.0,"大鹏新区","民宗",2
2019.0,"大鹏新区","民政",9
2019.0,"大鹏新区","水务",88
2019.0,"大鹏新区","生态",8
2019.0,"大鹏新区","统计",4
2019.0,"大鹏新区","规自",86
2019.0,"大鹏新区","财政",12
2019.0,"宝安区",,49
2019.0,"宝安区","交通",3
2019.0,"宝安区","人社",35
2019.0,"宝安区","住建",56
2019.0,"宝安区","公安",106
2019.0,"宝安区","卫生",94
2019.0,"宝安区","发改",2
2019.0,"宝安区","司法",9
2019.0,"宝安区","城管",30
2019.0,"宝安区","审计",4
2019.0,"宝安区","应急",61
2019.0,"宝安区","教育",16
2019.0,"宝安区","文体",71
2019.0,"宝安区","档案",5
2019.0,"宝安区","民宗",2
2019.0,"宝安区","民政",19
2019.0,"宝安区","水务",91
2019.0,"宝安区","生态",54
2019.0,"宝安区","统计",5
2019.0,"宝安区","规自",87
2019.0,"宝安区","财政",14
2019.0,"宝安区","退役",2
2019.0,"盐田区",,33
2019.0,"盐田区","交通",1
