"YEAR","POWER_HANGYE","POWER_QUYU","POWER_TYPE","SUM(*)"
2018.0,"人社","大鹏新区","行政处罚",19.0
2018.0,"生态","大鹏新区","行政处罚",59.0
2018.0,"水务","大鹏新区","行政处罚",800.0
2018.0,"司法","大鹏新区","行政处罚",7.0
2018.0,"统计","大鹏新区","行政处罚",5.0
2018.0,"卫生","大鹏新区","行政处罚",233.0
2018.0,"文体","大鹏新区","行政处罚",216.0
2018.0,"应急","大鹏新区","行政处罚",247.0
2018.0,"住建","大鹏新区","行政处罚",424.0
2018.0,,"大鹏新区","行政处罚",5.0
2018.0,"财政","福田区","行政处罚",26.0
2018.0,"城管","福田区","行政处罚",597.0
2018.0,"档案","福田区","行政处罚",8.0
2018.0,"公安","福田区","行政处罚",418.0
2018.0,"规自","福田区","行政处罚",288.0
2018.0,"交通","福田区","行政处罚",1.0
2018.0,"教育","福田区","行政处罚",43.0
2018.0,"民政","福田区","行政处罚",34.0
2018.0,"民宗","福田区","行政处罚",28.0
2018.0,"人社","福田区","行政处罚",118.0
2018.0,"商务","福田区","行政处罚",1.0
2018.0,"审计","福田区","行政处罚",0.0
2018.0,"生态","福田区","行政处罚",270.0
2018.0,"水务","福田区","行政处罚",446.0
2018.0,"司法","福田区","行政处罚",5.0
2018.0,"统计","福田区","行政处罚",0.0
2018.0,"退役","福田区","行政处罚",1.0
2018.0,"卫生","福田区","行政处罚",319.0
2018.0,"文体","福田区","行政处罚",1.0
2018.0,"应急","福田区","行政处罚",178.0
2018.0,"住建","福田区","行政处罚",100.0
2018.0,,"福田区","行政处罚",298.0
2018.0,"城管","光明区","行政处罚",572.0
2018.0,"档案","光明区","行政处罚",0.0
2018.0,"公安","光明区","行政处罚",418.0
2018.0,"规自","光明区","行政处罚",277.0
