"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2017.0,"金融","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"金融","市级",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2019.0,"金融","市级",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2016.0,"科创","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"科创","市级",34.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
2018.0,"科创","市级",53.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0
2019.0,"科创","市级",54.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2016.0,"民政","宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"民政","宝安区",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2018.0,"民政","宝安区",8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2019.0,"民政","宝安区",10.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
2016.0,"民政","福田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"民政","福田区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
