"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2018.0,"住建","宝安区","公务员",30.0
2018.0,"住建","大鹏新区","公务员",8.0
2018.0,"住建","福田区","公务员",18.0
2018.0,"住建","光明区","公务员",8.0
2018.0,"住建","龙岗区","公务员",25.0
2018.0,"住建","龙华区","公务员",15.0
2018.0,"住建","罗湖区","公务员",19.0
2018.0,"住建","南山区","公务员",16.0
2018.0,"住建","坪山区","公务员",7.0
2018.0,"住建","盐田区","公务员",13.0
2019.0,"保密","龙岗区","公务员",2.0
2019.0,"保密","龙华区","公务员",2.0
2019.0,"保密","坪山区","公务员",1.0
2019.0,"财政","宝安区","公务员",25.0
2019.0,"财政","大鹏新区","公务员",2.0
2019.0,"财政","福田区","公务员",19.0
2019.0,"财政","光明区","公务员",2.0
2019.0,"财政","龙岗区","公务员",13.0
2019.0,"财政","龙华区","公务员",6.0
2019.0,"财政","罗湖区","公务员",25.0
2019.0,"财政","南山区","公务员",18.0
2019.0,"财政","坪山区","公务员",4.0
2019.0,"财政","盐田区","公务员",10.0
