"YEAR","SUB_HANGYE","SUB_QUYU","SUM(*)"
2016.0,"统计","坪山区",0.0
2017.0,"统计","坪山区",0.0
2018.0,"统计","坪山区",0.0
2019.0,"统计","坪山区",19.0
2016.0,"统计","盐田区",0.0
2017.0,"统计","盐田区",0.0
2018.0,"统计","盐田区",0.0
2019.0,"统计","盐田区",4.0
2016.0,"退役","宝安区",0.0
2017.0,"退役","宝安区",0.0
2018.0,"退役","宝安区",0.0
2019.0,"退役","宝安区",8.0
2016.0,"退役","福田区",0.0
2017.0,"退役","福田区",0.0
2018.0,"退役","福田区",0.0
2019.0,"退役","福田区",10.0
2016.0,"退役","光明区",0.0
2017.0,"退役","光明区",0.0
2018.0,"退役","光明区",0.0
2019.0,"退役","光明区",5.0
2016.0,"退役","龙岗区",0.0
2017.0,"退役","龙岗区",0.0
2018.0,"退役","龙岗区",0.0
2019.0,"退役","龙岗区",12.0
2016.0,"退役","龙华区",0.0
2017.0,"退役","龙华区",0.0
2018.0,"退役","龙华区",0.0
2019.0,"退役","龙华区",5.0
2016.0,"退役","罗湖区",0.0
2017.0,"退役","罗湖区",0.0
2018.0,"退役","罗湖区",0.0
2019.0,"退役","罗湖区",10.0
2016.0,"退役","南山区",0.0
2017.0,"退役","南山区",0.0
2018.0,"退役","南山区",0.0
2019.0,"退役","南山区",10.0
2016.0,"退役","坪山区",0.0
2017.0,"退役","坪山区",0.0
2018.0,"退役","坪山区",0.0
2019.0,"退役","坪山区",6.0
2016.0,"退役","盐田区",0.0
2017.0,"退役","盐田区",0.0
2018.0,"退役","盐田区",0.0
2019.0,"退役","盐田区",7.0
2016.0,"卫生","宝安区",0.0
2017.0,"卫生","宝安区",0.0
2018.0,"卫生","宝安区",0.0
2019.0,"卫生","宝安区",112.0
2016.0,"卫生","大鹏新区",0.0
2017.0,"卫生","大鹏新区",0.0
2018.0,"卫生","大鹏新区",0.0
2019.0,"卫生","大鹏新区",25.0
2016.0,"卫生","福田区",0.0
2017.0,"卫生","福田区",0.0
2018.0,"卫生","福田区",0.0
2019.0,"卫生","福田区",27.0
2016.0,"卫生","光明区",0.0
2017.0,"卫生","光明区",0.0
2018.0,"卫生","光明区",0.0
2019.0,"卫生","光明区",19.0
2016.0,"卫生","龙岗区",0.0
2017.0,"卫生","龙岗区",0.0
2018.0,"卫生","龙岗区",0.0
2019.0,"卫生","龙岗区",41.0
2016.0,"卫生","龙华区",0.0
2017.0,"卫生","龙华区",0.0
2018.0,"卫生","龙华区",0.0
